,text
105,very bad experience buying in this platform. delivery is often more than 30 days and up to 55 days. dispute is handled by robot and no real people behind it. return shipping for faulty item is paid by the buyer and most of the time is expensive and not worth it. the price published for a product is often based on the lowest forex rate so that the item look cheaper. so many manipulations inside this platform. i would advise anyone not to buy from this platform.there are better platforms out there
106,i just had an amazing experience with lexpress
107,very good site easy to use
108,"yep really good until use it a few more times. thanks. tony,"
109,trusted and reliable fast and cheap accurate and sure
110,very useful
111,"the app is convenient but, items are too small to see correctly. this makes it hard to choose the right colors. the app is a little difficult. i also encountered a clip of porn in one of the product streams. i like using the computer better than the app."
112,i love how they have so many products!
113,good
114,easy to look for anything needed
115,nice
116,its good
117,excellent
118,it's simply the best
119,"yeah, it's alright"
120,i am using yahoo more than 15 years and happy to use it in the future. thank yahoo.
121,convenient
122,works for me.
123,very good
124,easy to work and read
125,great!
126,i order all the time from affirm their pretty reasonable and their fair
127,great!
128,very effective and quick
129,"this is absolutely the worst email app out there. i'm very disappointed i actually thought that yahoo after all these years would have had their act together when it came to providing good reliable and fast and accurate email. just to give you a for instance when i try to delete an email, i can't get rid of it, and it takes two or three tries before it's finally deleted. this email app by yahoo has a lot of glitches and bugs in it. the bottom line is i don't recommend that you install this."
130,it's email...
131,i can't open links on my email i have updated and install it and still having trouble trying to open a link on a email li yes i do have mobile but i never had problems with it
132,its working satisfactory.
133,very satisfied
134,serves my needs very well.
135,good experience
136,i love how easy it is to navigate my mail now. the folders i can make are wonderful. highly recommend this email.
137,ok email
138,great
139,excelentes
140,"i have been using this app a few days, but i really like it. sometimes it's a bit slow, but it is easy to use and allows for organized email."
141,the best
142,too many hoops to jump thru for verification. broken app
143,yahoo has improved so much more
144,great functionality and stability!
145,great app!
146,"i am using yahoo mail from last 20 yrs ,good service and easy to understand format"
147,well designed for lazy people! very easy and convenience!
148,thank you yahoo! mail
149,it's nice n good app.
150,too good
151,great
152,notices come in twice i only need them once
153,very easy to use
154,"have had it forever, has not let me down yet!."
155,the best email provider in my eyes
156,no issues. works well
157,abc
158,very user friendly and i feel that my information is secure
159,this app used to be great but the last 3 days i have not been able access my emails. overtime i try to open an email the app kicks me out. i have installed and installed the app but the same thing. please fix this
160,5 stars
161,very easy to use and understand
162,very seldom have trouble with it.
163,thank you so much. free email apps.
164,exelente
165,excellent service
166,"works well, easy to use"
167,thank you i appreciate this app its been a great tool for me✌i can always count on this app to work
168,useful
169,so far no issues
170,good
171,too many advertisements. it's very annoying.
172,rubbish
173,happy
174,very interesting and convenient to use. totally user friendly
175,very fantastic
176,ok
177,great job wii use it more!
178,outstanding app
179,"this app is extraordinary and very very helpful for daily day today life sending group messages, informations, urgent and immediate details and very handy app for all ages and all times"
180,very good
181,seems to have fewer glitches now
182,useless
183,amazing and win
184,took
185,very reliable
186,ad buttons are none responsive
187,ok
188,smooth
189,i enjoy all that yahoo has to offer
190,"you have fixed contacts save system, instead of contacts list save as per our customized matched."
191,good then before though improving slowly...
192,great tool to keep in touch with individuals and businesses
193,not for me.. too many ads. its distracts me too much. i forget why i opened my emails in the first place
194,highly appropriate and useful.
195,"your app keeps trapping out, i have to keep checking my emails constantly for new emails. the icon notifications will randomly show that i have emails. i can't open up my sent out email box. it keeps kicking me out of the app completely every time. i've installed the app several times to refresh the app, i've cleaned out the caches several times. what is going on with this app?"
196,great app!
197,good
198,"i'm sick of it asking me to review it when i reviewed it years ago. also, i now need a vpn to properly read my emails in china"
199,"i love using yahoo mail. it's always been fun, convenient, and robust to use."
200,gives me the ease of use i like and allows me to have another email address to use for various outlets.
201,very useful
202,very useful.
203,awesome
204,bugs all the time. i constantly have to open the app from the app store.
205,ive been with yahoo since early 2000. loyal to yahoo
206,been using it since 2006. never a problem.
207,good
208,this app has really approved and works very well.
209,perfect app!
210,enjoy keeping up with the mail
211,very good
212,no me gusts
213,works great
214,great
215,i have no complaints as of yet..
216,great as always
217,you are really truly real true words are aaaaaaaaawwwweeeeeesome and coooooooooool and right there if something is wrong
218,তথছ
219,waist of time
220,keeps look out at all times
221,nice app
222,christine123!
223,i love it it's doing it's job
224,ok
225,good
226,works
227,"it's unobtrusive, but when it detects a problem, i can decide what i need to do to fix it. it is extremely helpful."
228,keeps me from gaining my battery and getting rid of unnecessary apps.keeps my phone safe
229,great
230,good
231,i like the apps it works and it's quick to get things done and no problems!!
232,it's been good.
233,good
234,this is very satisfying ft.slayypoint
235,china
236,that is so fun and can get so much fun
237,too good
238,good
239,agenda
240,amazing :-\
241,super game
242,very beautiful good game
243,super
244,nice superb
245,bro i am from thoothukudi good game yeah!!
246,nice game but it can be improved
247,good game
248,‍
249,i remember this game when i was 6 years old and it was amazing
250,not downloading fast that's all
251,i like the game
252,it took to long to load and when it loaded the game was so bad i realised theirs a 2nd version of this but that also sucks this is one of the worst game and i installed it.
253,dowager
254,this game is so amazing
255,so very cute
256,nice app
257,if half brick studios reply to this comment with we are sorry they are g&y
258,love this game
259,iii the best way gauges
260,good
261,hating
262,one of the best games of all time
263,ar..
264,"this game is not responding at all and my phone is hang and it started to become bickering because of this game.when i install this game,my phone back to normal .this is the reason for giving 1 star.(my phone is samsung galaxy j7)"
265,like the upgrades and missions
266,"i can't install the game, it won't let me."
267,always liked this game
268,it is a really good game a bit better than the old one
269,so cool am game
270,very addictive and super fun
271,very nice game i'm like to this game thank you realize this game i'm not like game but now this the first time l like this game my name is akin l thank for you please send me the all game
272,идите на улицу и знакомьтесь. не в коем случае не платите за данное приложение!
273,good
274,fake app it has blocked my account three different times when it doesn't go against the regulations i am very pissed about it i have contacted you guys with an email and you don't seem to get back to me so i'm installing it you guys are fake
275,great app
276,"seriously, what's the point in putting filters on when they get taken off after about 2 sites!!!"
277,simply give user yellow card warning or account being blocked without any justification! any false report will simply lead to other peoples account closed what the hell app is this!!
278,bad app
279,"so far better and a good app, need to add video group messaging and share any important news with us."
280,so so app only.
281,cool and nice i actually met my wife there
282,"hello. as a girl and a valid user of this platform, i am unhappy with your customer support deciding to parma ban my account based on one small community guideline breach, that was not expected, at all. see, since you advertise instagram links on your platform, it came to my mind that i could just post a small twitch link in my bio. however, you guys said that that is such a huge community guideline breach that you just can't urban my account, and your front support desk threatened me that if i even make another account with another phone number i will get banned again. does this sound valid to you? i've used thousands of apps, and none of them had such harsh penalties for one small guideline breach, rather they would just inform you that you can't post links there. first, you did not make it clear at all, and second you're parma banning people just because of their lack of knowledge. i just want to say that any normal user like me would never bother reading guidelines, to say the least, and second, if you've just informed me that i've breached the tos, i would never do it again. that's how instagram works. they warn their users, because they care about their user's lives. you clearly do not care because all you're in for is the money and treating people like trash. now, since i am a business woman myself, i will suggest your management team investigates this, since i believe this mistake was probably your poor support desk's work, but if noone sends this matter to your management, i would be happy to find it myself, and have a little talk. :) thanks!"
283,none yet
284,im 74 dont give out. card. for prove of age
285,"always smiling and laughing, cannes and jokes"
286,payment for credit is better with airtime
287,"you really shouldn't let men pose as women, i'm tired of searching through the swine options and seeing tudes with full on beards, idc if that's what they identify as, i shouldn't have to see it if i don't want to."
288,i like this app but i don't agree with having to pay for people that like you and there hosted out.
289,good so far hoping it gets better soon
290,good
291,"if you pay for a one day pass they will charge you everyday without your consent, be very carefully with their services"
292,i love this app if you're popular basically everything is free
293,"why has my account been blocked, yet am over 18,so far am not practising any commercial activities you guys are unfair"
294,"my account has been blocked. i don’t know why i was just trying to get friends, hoping to get my account back. i taxed you in email"
295,well
296,excellent
297,"they will steal 65$ dollars from you too.. not a free app. mantle troll girls also, soliciting webcam & more.. junk"
298,good
299,guys are upgraded my app yesterday for one day and i cancelled but you keep getting my money why please stop casting my money
300,4 year are goo
301,it's good ✌️
302,nice
303,"отличное нововведение со статусом прочтения. и однажды узнал, как знакомой дали пожизненный премиум вообще ни за что."
304,والله للصراحة تطبيق حلو وحقيقي لكن دفع المصاري ليش؟؟؟
305,cool
306,جميل
307,perfect
308,"just when i was getting to meet people and make friends then wow i account was blocked for violating rules ,which i know very well that i did not do not pleased with this please fix it"
309,excellent
310,some things are expensive but good app
311,error.. network unavailable
312,it's brilliant i wonder if you could my account a few years ago i played 59 99 yet for some reason you i do not have everything i thought it was for life so sorry for asking this thank you.
313,"i have been restricted from logging into my account, why?"
314,this app is a very good app all you need to do is to follow the rules and enjoy the app
315,"extreme shortage of quality women. like extremely endangered species shortage. filter system is lame. can't choose ethnicity or if they have kids or not, so all i'm seeing are single moms who don't speak english. for some reason, it also rests after a couple of sites. very frustrating and a waste of money."
316,"95%fake profiles, no1 will talk to you 2-16-20 after you pay to activate premium they still want you to pay more for credits,. so basically they lie for what activating premium does.! 7-3-19 4-18-19 still no email response! says the persons location is semi close to you then when you start chatting after liking eachother there real location shows up, thousands of miles away.! great scam guys.11-19-19 even if you block someone it still notified you when they come online smh"
317,can't cancel my subscription
318,"super chara, no hay aaaaaa bueno"
319,as not on to much haven't had to much luck in same interests or compatibility or vibes.
320,"would stay away from this app , distance is a lie and a load off philippines people trying to get money out off you lol dodgy app"
321,good dating site
322,i loved ♥
323,hey why can't i connect to the app after updating it. before it worked just fine now its always offline.
324,i'm an attractive guy but never got a message. it's all prostitute's
325,lovely it's worth the download i've met many wonderful people from different parts of the globe and i'm looking to meet alot more
326,correct app
327,"wasting time , hundred choice no one contact no one sending message"
328,easy to connect with people
329,thanks a lot
330,nice
331,great
332,lovely ♥️⚽
333,"i have been using this app since 4 years, its good, but i dont like the new latest update version and its policies, because we cannot see notification about seen messages, and the likes in search area are limited now, before its limit upto 600 or more then it, but now just after 20 or 30 likes they request to charge, you should change this policy for to make a lot users, because in poor countries people cannot pay a lot money for it, so, they can enjoy as your free offers, kindly change it,"
334,good
335,una he parade y se ha conseguido
336,good app
337,
338,ads ads ads
339,radio is wonderful. thank you very much
340,"good app, i like it"
341,i got everything i want here
342,wonderful
343,not too bad
344,no room on phone to add apps! unable to check your matches!
345,not cool. what a trap. i get that you need to make money on it. but seriously.
346,good
347,if i could five this app -1 i would.. very bad at rewards and if you pay they trick you into spending more money.. sat next to a fellow radio user and both liked each other... it wont match like they suggested.. install...
348,brilliant app
349,"i've had this app for as long as i can remember; this time i get on it or just check out my stuff and i get a blocked account or something else has happened, just help me out will you"
350,very good true to their word. great experience
351,i like it very much... very good app
352,good
353,"honestly. just a terrible dating app. no way to shut down profile when done with it, unless you pay.....so basically all profiles are old or fake or nasty. what a scam for data"
354,"what have you done to the game before i loved it and today when i was going so see the brand new update it took 2 hours to download plus i did have 78% available storage and then when it all ""downloaded"" i agent to install it and i got a notification from google play store clear up space can't install app i checked my storage 96% storage and i can't get rid of it i don't know where it is so i guess you deserve a one star for what you did to the game and there goes my account."
355,you
356,text my girlfriend a really fun game that you can enjoy for a long time on
357,overall a good game there's just two small problems 1. it takes up way to much storage 2. i don't like how you have to buy most of the things
358,this is a fun game that you can invest a lot of time into without getting bored
359,very good game no glitches no tags .also support low end phones
360,coming lots of update but nothing comes new bad experience
361,my opinion this game is the best
362,its taking so long to download its been 1hr and its on 34%
363,"while some mobile gamers may think this game might be too mature for younger kids to play, i think i can handle the violence elements thanks to my best friend's advice."
364,it takes way to long to download
365,"you really need to fix your game because it's full of glitches and abbot, like i used to enjoy the game but it's impossible to play matches when people have to cheat to win so until you fix the problems i'm done."
366,i like it very much you should make a game in multiplayer so you can drive cars
367,good games
368,nice
369,this game is amazing and alot of fun but the bad thing is that where is the logic on an axe swinging faster and a knife!
370,people game banana seek lo game me itn problem h abi abi bill install kirke aa raja hun ana review change karen aya hun kon banana jab banana nazi ata h aur launch watson karen ja rho people ise to fix karla koi bhi install mat karla wahiyat game h bill
371,nice game
372,i love this game
373,was a great game before the recent update
374,i have updated this game 100% but it is still not getting an option of install or open
375,game is good but need to download each and every map after every update from the beginning that sucks
376,wow exceptional game considering it's played on my phone. pretty heavy usage creates heat on the phone
377,super cool game
378,very very very good game .but u don't make very very good maps .but u made this game very very good
379,it's ok.
380,the best game i played in mobile but it will be good when you could add story mod
381,na sulla lo game lavalaga mundi updates vachinappudu mundi ee sari updates daridram evade develop chased ani radii oka random
382,the best game ever i have played this is very nice game there are no glitches like other games means free fire and pub . i love this game 🤩 so much 🤩🤩. my level is 122 my id is cls4b . i was legendary in previous series i will come in legendary after some days ☺️ thx for making this game.
383,it's awesome i like it alot
384,giorni is gay
385,yet
386,worst experience when it comes to matchmaking always teams me with literally bot templates while other team is mostly full stacked or 3 man squad i'm tired of carrying teammates every round i'm losing my interest of playing this game by the way i'm playing this game from beta pls fix matchmaking
387,been playing the game for a really long time now. maybe cp points should be made free because people buying custom guns are irritating as thier fire rate and damage levels are far higher than
388,the best
389,"i request cod m developers to work on game optimization, just dont look at high-end mobile gaming, there are lot other budget phones. just testing in iphone or rog etc., high end phones not gonna show any issues, test in actual 3-4gb ram phones with 600 series sd. *mark my words cod m gonna be down soon because of new match making update.*"
390,great game. its almost like the original only hung missing is the story mode and zombie mode
391,best game ever love this game
392,please send me more gift in code my id vlgamerz
393,i love the skin all you guys created i also love the new maps my name is fall673 can you guys send me a free skin plz i will like your channel like all you videos
394,best mobile game just wish you guys can add zombies back and can add the transit map hope you guys can add it on the next update
395,"this game is cool , i even dont have tags on my samsung! and please add clan war and clan weapons , i started play this game from season1 2o19 !!! please...."
396,all perfect except for when your hurt and can't heal at that moment!!!
397,the update has switching bugs
398,فقط یه کلام عالی
399,"really fun game, only problem is you need a really good phone to really enjoy it"
400,how big are your updates ? even after 100% it keeps on downloading additional files
401,good and high and other level graphics
402,this game is fun
403,i can play this game until the day i die. thats how good it is
404,"new update have many lich ,many time i observe that when i hit any many with sniper gun or other normal gun then it not give any damage to enemy. one time i had empty my log gun on enemy but no any damage show on enemy . please solve this issue."
405,nic
406,bad experience this app sometimes doesnt open even if u have good network
407,the best game for ur phone.
408,they let someone pirate my account! been playing since 1.10.19
409,too much glitches and errors.. multiple times loading.. overtime connecting.. but pub is mother in playing as cod
410,good
411,the battle royal is fun you can kill so many people and i always win
412,"great game very upscale out rank the rest. i'm really the best out here, no one can beat me no ones out doing me, i'm despicable, his sunny listen lol no he's cash play with clay, he bull twinkle no he's underdog on hum-du-ahmed...lol excuse me god for nursing..see ya on the battle field latenights."
413,"this is indeed a very nice game, but an second choice in absence of pub. somehow the game play, map and premises is not very engaging. very hard to understand the weapons and there upgrades."
414,great 7🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰10
415,pls fix the server issues
416,homo
417,those realistic ki zaroorat hai
418,awesome as i said awesome
419,
420,love the game great game did a good job keep up the good work
421,fail and fail and fail again. you care about the money.
422,best mobile game ever but i wish there was a campaign mode and u could see other players skins and also can u make so u don't have a battery on the night vision goggles in attack of the undead
423,good experience
424,love this game
425,good
426,consecutive updates have kinda ruined the game i moved to my poco x3 8gigs of ram and snapdrgn 732g. runs well but while playing br mode it blacks out when there are enemies around us and huge fps lag takes place when nearby enemy makes any movement. fix this..
427,so fun
428,it is the best commando game..
429,
430,good game ❤️❤️❤️❤️ big like
431,hooked
432,purchased 70 cod points...transaction happened bit the purchase didn't...still no response from activation ( 2 days) ....its not about 70 rupees its about the service...will install if dont get an update soon.:/
433,good
434,i really like it.
435,a couple bugs in zombies but over all good game and please change the night vision thing it should make you stop moving it should change on and off not make you stop moving it's annoying and make the game make me want to break my skull open with a hammer
436,best game but i think that you can give us same leghandrayr skin
437,pog
438,i like this game this game my dreams game tank you call of duty.
439,"love this game easy to play great graphics and great controls. everything is amazing love the new skins. yeah love the multiplayer modes they really good and easy to play. love the guns. there is a lot of lag in the game sometimes i think that could be improved. i think the game would have been better if you had left zombies, everybody liked that game but now it gets boring sometimes without the zombies to play. why did you remove zombies?personally that was my favourite game. please add it back."
440,have to keep updating it for new seasons and overtime it takes up so much storage that its della lang. other than that it's the best game of cod on a phone.
441,
442,super game but some times i felt that ui is somewhat confusing other than that everything is great
443,it is really fun to play and season 2 is amazing but only problem is one of my accounts was removed for no reason i am reaching out to you activation in twitter and here to get my old accounts back that is the only problem i have with the game.
444,poor app
445,it's cool
446,this new update made the game worst. it doesn't get started and shows network error while my network is full. problem is in the game and it puts blame upon the network.
447,it would have been nice if all had got epic items. but indeed it is the best game
448,this game was so awesome and better than pub
449,"call of duty mobile is definitely one if the best mobile games because good graphics/animation , frequent updates , tons of game mode ect. very smooth"
450,i st love it
451,the game is good friendly and i have never had any problems with anybody cheating or hacking so the game is fun and most people are clean players not hackers and i'm 14 and i don't rage at this game
452,it's amazing it's cool keep doing updates on call of duty mobile they are for keen
453,going on .....need more br maps
454,what does at backpack what does deep does condoms are there is one more billions dee bag i'm curious what does back does cup there's actually no bu showing on the back
455,nice
456,ranakashif
457,superb hd quality videos
458,not very great content. movies are old. no originals.
459,very nice
460,good very
461,nice game ever played pewerash.......
462,it's awesome
463,this is the best football game ever
464,downloading is
465,this game is awesome but when you have been playing it's gone say you have to update and it's not update then i removed and download again
466,the best game i ever played
467,it is good and the graphics are good
468,good game control.
469,best game ever! best graphics and not even a bit lag. i love this game very very much. just fantastic.
470,awesome game
471,"worst experiences, offside decision was very very crucial, sometimes inside also given offside, and many unfair situations"
472,"such a realistic football game. but some more development should be needed, eg:match referee ,line up,and especially take the action against the persons those who are making null during the match ."
473,super
474,good game.
475,nice game
476,"it a worst game, i never win campaign match again why even no cup match"
477,"it's a good game, but i can't open it after the update"
478,good game but online mode needs improvement in gameplay because it's full of theaters.
479,nice
480,it is a fun game but the fool system is broke i tackle a guy i got the ball first and they give him a penalty
481,this is fantastic
482,"the game is good. graphics is good. however, needs some work with the game play..key size modification would be much welcome. the direction key can be improved. little more improvement in other gameplay aspects like auto switching. thoroughly enjoy playing it. the above mentioned changes would be much much welcome"
483,good game
484,good game
485,the game performs so much better now. i don't know what's happened but keep up the good work
486,my pes
487,nice
488,"i consider this game as not only one of the best games but the best game in gaming world..it realistic nature ,so fantastic.but one think i could wish is the introduction of table format instead of level format."
489,i love the game
490,goooood
491,great game iloveit
492,online mode is very terrible... please fix that issues.... please bring more events please‍♂️‍♂️🤦‍♀️
493,"1st: poor control configurations and interchanging from an event to another. 2nd: many controls on the screen, some times you be playing and you don't see what you playing cause of the limited screen. 3rd: slow player movements which make it not nice."
494,plover
495,"game noon,player noon,control noon,this game is stupid"
496,i love pes more than i can describe but we who select location usa initially do not get some feature.... is there any good news for us near future.
497,very good
498,null is still a great problem which remains unsolved
499,good application for footballers
500,"i love this game ,,but the only problem is online play ... can u please fixed that problem"
501,great
502,when i playing pes was wander full it is a nice game
503,good
504,the best game i have ever played awesome graphics. even i can play at 60fps..in my phone... thanks... luv from kashmir
505,good game
506,for last update we need to add friend and chat
507,2 star for good graphics.but day by day very irritating to face many lag theaters and connection lost problem while in good network in online matches. don't download .worst ever cheating game.they do nothing to stop it
508,it is good game
509,nice game
510,"i think the hand the problem.it annoying to me,please fix it and i give full stars.and you guys have to try this game,it is amazing,real graphics and others"
511,too much lag and scripting...🥲
512,"it's a good game, i personally i love it, except for the fact that you must have data bundles to access and save your scores after each game and also the gold coins are difficult to earn which makes it difficult to sign a player of your choice"
513,why my account lag
514,thank you pes you all make me say out of below
515,very very very nice game.this is very nice
516,"it become more worst this recent update. all my passing game is not accurate at all. there are always problem with the pass. i know thats the problem because before this all my pass to the players are correct amd accurate. now it become worst and shortest. stupid game and even when i shoot the ball, the keepers can save it easily and it not make any sense. worst and worst. stupid game"
517,"i issued a complaint yesterday and it was fixed today, am really impressed and apart from that, pes 21 is totally phenomenal"
518,my favourite game
519,very good experience for me a good game is this my favourite game i am all time playing this game
520,nice gameplay and graphic but the control button are a bit messed up. 1. cancellation of button pressed not possible. 2. most times defenders tables instead of clearing the ball. 3. players switch instead of passing etc. please work on the switching of attack/defence button.
521,amazing game
522,fantastic game ever
523,the game is brilliant but there are many things which needs are to be added and some improvement. first of all i would like to say that there should be a tournament and leagues in the game and players are so much expensive so please add these features that i have said
524,good game i don't actually have it before but how my friends say it make me anxious and i tried downloading it it's a very good game
525,"better one..but why need data during playing it,"
526,🤗🤣
527,good game
528,best game ever
529,very beautiful game i like it
530,its excellent
531,not data transfer
532,fantastic
533,ok
534,🤯🤯🤯🤯
535,the good game in my career cooper football game
536,not a good game..i lost my id always..many update come but this one can do anything
537,this game is really good but my only issue with this game is that the online matches are always interrupted with a connection problem even if the internet connection is fine.
538,why these developers are sticking on the tour system atleast they should have added league system secondly online matches aren't fair in this game and no system to punish the lag theaters
539,nice
540,oo
541,hhh.
542,anemone level valid moodeshhh
543,too good to be real
544,amazing
545,best ever football mobile game.
546,i love this soccer game please dont take long with the game
547,best game
548,best ever football game i played.. thank you kami for making pes..
549,footballers fans the best game ever played
550,this is supper team in would
551,pes is boring no new events fifa has more events and and pes should improve
552,op
553,"this game is good in graphic, control and more."
554,now the game is going down because of the opposition you face during online matches they either lag or null your game as result after defeating them
555,
556,bal er para game bokachoda.. sala eta iconic dio nah.. betichod.. khaki pos khichbe.. arr pos na file rich die nah.. rand r poll... sala gudmarani.. essay that
557,best game ever
558,begging gh
559,offline doesn't work like it used to. you need internet for everything like upgrades etc. it gardens me i will have to install it
560,awesome
561,nice
562,you're allowed the first two races in career mode. can't get further without $$$$$ spent more time downloading the game than we are able play it
563,"expenses in the game increase quite bit as you progress. unfortunately, the earnings from winning do not increase at all so you can never really hope to keep up with upgrades without paying. plus, you have to collect ""profit"" upgrade cards for some upgrades and then pay again. if they were to fix the problem and make winnings worth much more than the current amount. this game would be greatly improved."
564,worse game. you can't play if you don't have bundles. mm
565,fails to install at 75%
566,just. love this. game. . but. pls. give. us. some. more. credits
567,please add buggati santodisie but any ways this game is best
568,"came back after a year or 2 without seeing it. damn you became a greedy jerk man, big changes since i last saw, mainly being pay to win now. no max upgrades? then have my 1 star & then some. really need to tune online . hope this game goes downhill"
569,wow
570,waste of time could only do 2 races then had a 2 day timer for ad to get a car to do any other races installing it now
571,graphics are
572,#super &faster car game
573,really great
574,best game ever
575,"awesome,interesting and entertaining"
576,5 stars for graphics and gameplay but push the game more towards the online mode
577,it's mind blowing
578,"this game is awesome,but one thing,overtime it says that i must upgrade my car online and sometimes i am offline"
579,the graphics are amazing it looks like need for speed but 10 times better !i really like this game and i want it to success!
580,i don't like france
581,gg
582,a very good game if you play need for speed you will board
583,asphalt 8
584,the greatest game ever!!!
585,it's gb is my problem
586,nice game
587,beat game
588,this game is so amazing in multiplayer i will multiplayer in my sister in this game
589,very good game
590,excellent
591,i just wanna to modify the bodykit
592,love
593,nice game
594,"the best car race ever, i love it"
595,"i've rated dis before 5stars now it's only 2 cause there's a malfunction in the game where ur account will revert back sometime and your money would be negative. your game is trash now and i'm not gonna lie about it, i've worked hard on my account for years and it reverted to 2015 data of my account. it deleted my account today that i have more cars and a lot of money and gems. it reverted to 2015 of data and the money is on a negative sum of it."
596,very good
597,man sharma
598,good
599,wow
600,it has very good graphics and control my son liked it very much
601,nice game download it guys
602,madecod game
603,best racing game i have ever played.
604,good game
605,suck game can't compete the quest on multi-player give on error please don't buy any game season because you can't compete the quest of multi player quests don't waste your money and the game also really money sucker when you compete to play your state and get the coin only a few hundred and the car they selling is you can't buy have to pay than can get the car.
606,"install hi nhi ho sha h, ghatiya game"
607,very nice racing game
608,super game
